,target,Tweets
0,0,"Work is so slow, I'm seriously considering quitting my job this week "
1,0,@davidvancamp That's awful.  I wish mine would stop making fat jokes.
2,0,"Well, i guess i need to start a new chapter in professional my life "
3,0,"@SandraBernhard Miss Lady, since you brought up your web store - it is notoriously known that it takes AGES to rec'v your merch. "
4,0,@CarterTwinsZach Im sorry I hope u feel better cuz I love u and it makes feel horrible when ur sick or sad or mad or hurt 
5,0,"@StewartWade Yeah, I know--pigs for sure...which is a great visual on my end among all the akimbo-ness. "
6,0,"ouh @Babe_Franzi was hast du hun'? hoffentlich nichts schlimmes. yes, i miss you rlly much, mary too. "
7,0,Woke up with the worst headache 
8,0,@MacekMakeupArt I can't remember the last movie I saw in a theatre!  Hope you guys have fun! What are you going to see?
9,0,last day of classes   im going to miss chichi !
10,0,"Damn, time for another pedicure, just chipped my toenail on an open cabinet  Shit happens!"
11,0,@mikegentile i've never been in a walmart  no joke
12,0,@amedelrivero Start putting up $100 every paycheck! We have to prepare ourselves for the future -_-. ONLY $300 is what i'm getting 
13,0,@patrickeatworld takboleh. i am so in loveeeeeeeeeeee  life sucks. FMMFL
14,0,I have church thur and am always forgetting I can watch fbc on line until Thurs. 
15,0,@hopeformusic yikes.. no good.  i hate hayfever myself... and meds don't help much for me either.  
16,0,errands to run all day..leaving tonight 
17,0,my brain is officially broken.  
18,0,"At work, again... "
19,0,I can't get the twitter widget for facebook to work 
20,0,"I've really lost my glasses now  WHERE ARE THEY. I can't sleep with my contacts in. I miss yoouuu, glasses, you make me ME."
21,0,"Shopping for shirts in shorts is apparently not the best of ideas in London. Get paid little to no attention, till the wallet appears "
22,0,No well  :O xx
23,0,hoping my grandma starts improving soon. she had back surgery and is in the hospital and not looking good.... 
24,0,"@snowqueen297 on @orbitz. They anounced a winner already, and it wasn't me "
25,0,@pantherrh Not a bad price for the Kannagi figure actually. 1/10 makes me cry though. Not enough Itsuki to luuuuuuuuuuuuuv. 
26,0,is there anything more lame then pouring a bowl of cereal and remembering you have no milk? no cherrios for me 
27,0,"It's only been an hour, but it feels like forever and a day.  I guess this is way better than jail."
28,0,I miss the days when work used to be soo fun and relax 
29,0,being bored like always well at least for now all my friends are gone on vacation! 
30,0,ugh. someone hold me. 
31,0,Emily has never seen a goose poop  shes deprived
32,0,I want dalool didn't see her today 
33,0,ominous weather....obviously on Frisbee Thursdays 
34,0,2 days more to school. Say it isn't so 
35,0,@bradshorr Good grade! I think I failed; won't work through our firewall. 
36,0,time to get back to work   man it's gonna be a LONG day!
37,0,i need special apapachitos because I very very chipil  
38,0,@KELLY__ROWLAND ....wish u coulda been here!!!!  u gotta come back to HOU soon!
39,0,Robert Reisinger just in...very late 
40,0,ahnothing like doing hay for the bfs parents not done yet but today we arent working 300 bales + yay right plus they have a pool (hot  )
41,0,"@tantamani Wow, that really sucks   So sad to see when that happens, when it's believed to be the only way out. "
42,0,At da wic office w/ my mom I just dnt kno 
43,0,hoping for good weather tomorrow! ahhh no rain or thunderstorms please 
44,0,UPDATE 888! just wanna say i love u dad &amp; mum &amp; grandma &amp; bf &amp; brinjal &amp; dear family members &amp; dear friends!!! this is driving me crazy! 
45,0,is kind of upset 
46,0,just had the worst philly steak sandwich in my life   with liquid cheese... phew
47,0,Don't wanna get ready for work! UGH!!! 
48,0,I hope my grandma gets better! she is in the hospital 
49,0,Is exhausted... 
50,0,is lying on my comfy bed enjoying the sun on her body but definatley needs a bigger bra! 
51,0,View from the coffee pot. Work all day  http://twitpic.com/8dqx5
52,0,All done. No more ethnobotany 
53,0,@MrJamesFortune Hey Bro! Miss u.... Tell Cardi *I'm singing* PLEASE DONT TEAR MY NURBS UP DAUGHTER!!! HAAA I sooo miss ya'll 
54,0,"@iEllie Hiring on with the state can be a SLOOOOW process anyway, and the budget only makes it worse.  "
